fpl_code,fbref_code,fotmob_id,fanteam_id,ref_name,fotmob_name,current_team,current_team_id,parent_team,parent_team_id,height_cm,preferred_foot,age,country,market_value_€m,primary_position,listed_positions,is_injured,expected_return,sample_mins,fin_skill,npxg,sot,xa,bcc,tack_w,tack_att,acc_pass,yc,s_rc,og,s_dribb,s_cross,offside,int,block,recov,clear,goal_oa,foul_w,foul_l,eltg,p60_gstart,p90_gstart,on_pens,g,sv_p_xgot,europe_mins_ratio,fac_mins_ratio,lc_mins_ratio
510663,5b92d896,1197030,4322253.0,Hugo Ekitiké,Hugo Ekitike,Liverpool,8650,Liverpool,8650,190.0,right,23.0,France,75.27065,ST,AM/ST/LW,False,,6741.0,0.97871,0.43816,1.15736,0.10544,0.34747,0.36494,0.60022,14.11099,0.06597,0.00153,0.00046,1.18313,0.16662,0.44679,0.25787,0.03871,2.43937,0.59928,0.00757,0.81711,1.22816,0.00062,0.93309,0.27491,0.02,0.43104,0.0,0.95,0.584,0.52
247412,f553b2b3,821100,3893792.0,Jørgen Strand Larsen,Jørgen Strand Larsen,Wolverhampton Wanderers,8602,Wolverhampton Wanderers,8602,193.0,right,25.0,Norway,30.9633,ST,ST,False,,12445.0,1.02421,0.32717,0.89468,0.05036,0.1128,0.22039,0.40448,9.68144,0.09729,0.00066,0.00039,0.44768,0.06587,0.48238,0.16797,0.11884,1.76371,0.89831,0.00647,0.93576,1.51638,0.00049,0.93029,0.38313,0.8,0.42357,0.0,0.7,0.584,0.52
244851,dc7f8a28,1096353,242906.0,Cole Palmer,Cole Palmer,Chelsea,8455,Chelsea,8455,185.0,left,23.0,England,116.89625,AM,DM/RW/AM/LW,False,,8832.0,0.9659,0.33975,1.22393,0.22855,0.57125,0.56824,0.94106,29.75897,0.1342,0.00069,0.00012,1.42944,0.7344,0.17858,0.39814,0.03676,3.03507,0.4484,0.00624,1.29473,0.54251,0.01043,0.95169,0.58599,0.85,0.42217,0.0,0.95,0.9,0.9
447203,4d77b365,950561,1677500.0,Darwin Núñez Ribeiro,Darwin Nunez,Al Hilal,2529,Liverpool,8650,187.0,right,26.0,Uruguay,51.37241,ST,ST,False,,12187.0,0.93996,0.43698,1.14663,0.09243,0.28094,0.46407,0.6987,10.71428,0.12117,0.00112,0.00033,0.70931,0.13078,0.65536,0.16463,0.07056,2.12683,0.53626,0.00809,0.79322,1.14821,0.00044,0.92273,0.38389,0.0,0.41074,0.0,0.95,0.9,0.9
438234,0e0102eb,839204,4059073.0,Omar Marmoush,Omar Marmoush,Manchester City,8456,Manchester City,8456,183.0,right,26.0,Egypt,75.56396,ST,LM/RW/AM/LW/ST,False,,9497.0,1.03264,0.3802,1.15844,0.10373,0.34944,0.48123,0.76108,15.20518,0.04958,0.0007,0.00034,1.35162,0.58214,0.44144,0.29687,0.04816,2.65858,0.21092,0.00677,1.70938,0.93506,0.00051,0.93286,0.3711,0.09,0.40256,0.0,0.95,0.6736,0.54133
205651,b66315ae,576165,32986.0,Gabriel Fernando de Jesus,Gabriel Jesus,Arsenal,9825,Arsenal,9825,175.0,right,28.0,Brazil,32.30542,ST,RW/ST,True,Late September 2025,10016.0,0.96726,0.40582,1.04223,0.10861,0.31033,0.61426,0.98808,20.43037,0.11879,0.00101,0.00015,1.47716,0.1173,0.6981,0.39661,0.04462,2.76388,0.54514,0.00753,1.39563,1.30319,0.00024,0.94996,0.46668,0.0,0.39253,0.0,0.95,0.648,0.84
444102,6f3cc2fe,1098096,3925510.0,Francisco Evanilson de Lima Barbosa,Evanilson,AFC Bournemouth,8678,AFC Bournemouth,8678,183.0,both,25.0,Brazil,26.7594,ST,AM/ST,False,,9975.0,0.96222,0.39891,0.94448,0.06214,0.19453,0.42047,0.61625,9.8529,0.06407,0.00136,0.00323,0.40867,0.04539,0.60804,0.11433,0.0651,2.39414,0.65615,0.00803,1.78335,1.33313,0.00045,0.95742,0.22137,0.045,0.38882,0.0,0.95,0.584,0.52
223340,bc7dc64d,961995,106430.0,Bukayo Saka,Bukayo Saka,Arsenal,9825,Arsenal,9825,178.0,left,23.0,England,105.0,RW,RM/RW,False,,16385.0,1.03743,0.27883,0.94669,0.1893,0.59344,0.73102,1.36775,25.76296,0.08751,0.00049,0.00327,1.58204,1.17275,0.34428,0.46266,0.03749,3.63633,0.43114,0.005,1.81895,1.01211,0.00567,0.93655,0.47801,0.8,0.37774,0.0,0.95,0.70307,0.85311
219847,fed7cb61,749736,182529.0,Kai Havertz,Kai Havertz,Arsenal,9825,Arsenal,9825,193.0,left,26.0,Germany,59.37547,ST,CM/AM/ST,False,,14590.0,0.92349,0.39824,0.90289,0.10652,0.27141,0.41482,0.89208,22.32208,0.13913,0.0007,0.00011,0.60599,0.105,0.60878,0.29323,0.07415,2.64788,0.9203,0.00701,1.22129,1.66775,0.00233,0.93952,0.59686,0.0,0.36777,0.0,0.95,0.71613,0.85622
50175,ce5143da,113836,23331.0,Danny Welbeck,Danny Welbeck,Brighton & Hove Albion,10204,Brighton & Hove Albion,10204,185.0,right,34.0,England,4.23995,ST,AM/ST,False,,9648.0,0.93268,0.30518,0.82212,0.05555,0.15109,0.49977,0.88146,14.05408,0.07393,0.00061,0.00025,0.57745,0.03362,0.23091,0.21849,0.09517,1.72397,0.62806,0.00547,0.85123,0.69957,0.00039,0.93159,0.38853,0.75,0.36759,0.0,0.59222,0.9,0.9
235826,1f0072a6,792540,4293436.0,Joël Piroe,Joel Piroe,Leeds United,8463,Leeds United,8463,181.0,left,26.0,Netherlands,18.66025,ST,AM/ST,False,,14024.0,1.11435,0.25138,0.73417,0.05984,0.1516,0.38882,0.6131,11.8321,0.0579,0.00051,0.00036,0.4279,0.03363,0.3864,0.2366,0.04509,2.51998,0.65996,0.00688,0.47197,0.69011,0.00044,0.99003,0.49723,0.7,0.35754,0.0,0.7,0.69507,0.54644
102057,b561db50,292313,88528.0,Raúl Jiménez Rodríguez,Raul Jiménez,Fulham,9879,Fulham,9879,188.0,right,34.0,Mexico,5.48513,ST,ST,False,,8867.0,0.98876,0.28087,0.90175,0.07537,0.1693,0.58991,0.91174,14.73047,0.08351,0.0009,0.00311,0.72218,0.14676,0.47931,0.29377,0.12165,2.44425,0.73391,0.00485,1.26624,1.16375,0.00045,0.93349,0.45394,0.7,0.35514,0.0,0.7,0.72267,0.85778
209244,ed1e53f3,815006,55898.0,Phil Foden,Phil Foden,Manchester City,8456,Manchester City,8456,171.0,left,25.0,England,90.81716,AM,RM/RW/AM/LW/ST,True,Doubtful,15095.0,1.20427,0.2927,0.99285,0.18175,0.5096,0.38488,0.70289,36.83296,0.04397,0.00036,0.00011,1.22633,0.98981,0.19959,0.35939,0.02843,3.16898,0.35078,0.00535,1.29792,0.4182,0.00633,0.92274,0.52115,0.0,0.35249,0.0,0.95,0.9,0.9
244731,4a1a9578,860914,283021.0,Luis Díaz Marulanda,Luis Diaz,Bayern München,9823,Bayern München,9823,180.0,right,28.0,Colombia,50.37207,LW,RM/RW/LW/ST,False,,13678.0,1.07739,0.32293,0.84405,0.13028,0.32897,0.73366,1.11346,23.6388,0.06231,0.00059,0.00013,1.94044,0.31102,0.35413,0.29219,0.01967,3.79089,0.26419,0.00613,1.30072,1.49295,0.00104,0.9558,0.33935,0.0,0.34792,0.0,0.95,0.76467,0.86778
485711,3260690c,1073977,4348880.0,Benjamin Sesko,Benjamin Sesko,Manchester United,10260,Manchester United,10260,195.0,right,22.0,Slovenia,69.63288,ST,AM/ST,False,,5429.0,1.09494,0.31733,0.98768,0.06082,0.17115,0.2299,0.45578,12.79816,0.07232,0.00195,0.0006,0.88575,0.08929,0.53761,0.16906,0.08146,2.25385,0.7621,0.0052,0.8361,0.98646,0.00094,0.97057,0.31717,0.0,0.34745,0.0,0.95,0.584,0.52
244042,a755db8c,1128945,3556539.0,Rodrigo Muniz Carvalho,Rodrigo Muniz,Fulham,9879,Fulham,9879,186.0,right,24.0,Brazil,6.56143,ST,ST,False,,4749.0,1.04337,0.32052,0.93947,0.04975,0.10263,0.26345,0.46459,6.93479,0.0414,0.00125,0.00041,0.42794,0.06476,0.18021,0.26866,0.11582,1.4814,0.79098,0.00582,1.52497,1.05725,0.00061,0.91366,0.3271,0.1,0.34548,0.0,0.7,0.9,0.9
486385,ed5c0319,1079485,3650885.0,Norberto Bercique Gomes Betuncal,Beto,Everton,8668,Everton,8668,194.0,right,27.0,Guinea-Bissau,20.7266,ST,ST,False,,9605.0,0.97078,0.34739,0.89678,0.04277,0.09707,0.29834,0.65432,7.77,0.06425,0.00093,0.00025,0.83795,0.05184,0.61265,0.20734,0.08445,1.9302,0.98069,0.00686,1.08835,1.3923,0.01062,0.99185,0.45551,0.05,0.34277,0.0,0.7,0.72453,0.85822
243298,1971591f,806552,2818755.0,Cody Gakpo,Cody Gakpo,Liverpool,8650,Liverpool,8650,193.0,right,26.0,Netherlands,64.78255,LW,LM/LW,False,,13586.0,1.14833,0.29831,0.89504,0.15283,0.4366,0.59822,0.9783,17.0075,0.05889,0.00041,8e-05,1.25285,0.50243,0.27368,0.44312,0.08006,3.19381,0.38854,0.0056,1.4026,0.89232,0.00058,0.89262,0.34937,0.0,0.34256,0.0,0.95,0.9,0.9
212319,fa031b34,654908,45474.0,Richarlison de Andrade,Richarlison,Tottenham Hotspur,8586,Tottenham Hotspur,8586,184.0,right,28.0,Brazil,19.25591,ST,LW/ST,False,,9540.0,0.96975,0.33862,0.89402,0.07481,0.20527,0.62991,0.99545,13.1583,0.09454,0.00072,0.00046,0.79213,0.12211,0.54987,0.29551,0.12942,2.97453,0.88352,0.0056,1.66424,0.99916,0.00061,0.876,0.42354,0.1,0.33944,0.0,0.86222,0.70213,0.85289
213198,7c56da38,704523,3584407.0,Christopher Nkunku,Christopher Nkunku,Chelsea,8455,Chelsea,8455,178.0,right,27.0,France,41.81362,LW,RW/AM/LW/ST,False,,11423.0,1.08465,0.30473,0.92203,0.12988,0.37255,0.55448,0.89061,23.83853,0.06559,0.00078,0.0001,1.01076,0.33719,0.26402,0.41455,0.06334,2.61628,0.38716,0.00602,1.27113,0.96208,0.00104,0.94539,0.53372,0.05,0.33606,0.0,0.95,0.6508,0.84067
141746,507c7bdf,422685,160701.0,Bruno Borges Fernandes,Bruno Fernandes,Manchester United,10260,Manchester United,10260,179.0,right,30.0,Portugal,47.27886,AM,DM/CM/AM/ST,False,,22341.0,0.99907,0.23226,0.97993,0.26597,0.64821,1.1595,2.01456,42.75051,0.12444,0.00043,0.0001,0.7699,1.20359,0.14936,0.66095,0.11352,5.74387,1.02643,0.00434,1.22436,1.03497,0.00824,0.97652,0.79986,0.9,0.33158,0.0,0.95,0.9,0.9
85971,92e7e919,212867,23472.0,Son Heung-min,Heung-Min Son,Los Angeles FC,867280,Los Angeles FC,867280,184.0,both,33.0,South Korea,14.58862,LW,AM/LW/RW/ST,False,,16546.0,1.19512,0.27322,0.96228,0.14614,0.4056,0.39607,0.72149,23.30717,0.0408,0.00052,0.00483,1.21414,0.68055,0.42923,0.30631,0.0584,3.28437,0.31055,0.00514,1.13751,0.41881,0.00088,0.92997,0.50291,0.0,0.32653,0.0,0.95,0.83933,0.88556
204646,116c35df,660301,4054663.0,Donyell Malen,Donyell Malen,Aston Villa,10252,Aston Villa,10252,179.0,right,26.0,Netherlands,21.38056,RW,LWB/RW/ST,False,,10805.0,1.03985,0.30239,0.92952,0.10911,0.31366,0.34246,0.55945,15.58789,0.06711,0.00108,0.00028,1.33388,0.3395,0.28293,0.27644,0.04537,2.45863,0.33314,0.00617,1.22793,0.55895,0.00179,0.91111,0.26486,0.0,0.31444,0.0,0.95,0.50373,0.50089
599303,ff392864,1443841,,Sean Neave,Sean Neave,Newcastle United Academy,860798,Newcastle United,10261,,right,18.0,England,,ST,ST,False,,0.0,1.0,0.31279,0.98405,0.08461,0.34945,0.36592,0.61506,15.87042,0.11797,0.00313,0.00098,0.8166,0.18715,0.65545,0.21043,0.09317,2.58583,0.63883,0.00389,1.55772,1.2474,0.00144,0.9095,0.3692,0.0,0.31279,0.0,0.7,0.584,0.52
75115,c596fcb0,184321,4338690.0,Callum Wilson,Callum Wilson,West Ham United,8654,West Ham United,8654,180.0,both,33.0,England,7.27459,ST,ST,False,,7525.0,0.9999,0.31149,0.78754,0.05178,0.14243,0.24767,0.42513,8.27763,0.10727,0.00157,0.00054,0.73279,0.07497,0.60527,0.18513,0.07262,1.79638,0.51876,0.00622,1.20374,1.20063,0.00077,0.9225,0.44699,0.0,0.31146,0.0,0.58167,0.648,0.84
242898,0cd31129,1076756,230991.0,Brennan Johnson,Brennan Johnson,Tottenham Hotspur,8586,Tottenham Hotspur,8586,186.0,right,24.0,Wales,56.16635,RW,RM/RW/LW/ST,False,,13326.0,1.01913,0.29529,0.65886,0.08457,0.23056,0.64189,1.00134,14.06821,0.08866,0.00042,0.00028,0.84422,0.36785,0.3895,0.25023,0.06024,2.62964,0.3285,0.00541,0.97102,0.90189,0.00105,0.9264,0.54932,0.05,0.30647,0.0,0.95,0.7572,0.866
178186,79c84d1c,523825,161049.0,Jarrod Bowen,Jarrod Bowen,West Ham United,8654,West Ham United,8654,174.0,left,28.0,England,48.26439,RW,RW/AM/ST,False,,17318.0,1.07864,0.27368,0.89168,0.12292,0.37452,0.64288,1.0967,15.20679,0.05021,0.00039,0.00014,1.23133,0.70928,0.36312,0.59111,0.11658,3.79788,0.43444,0.00527,1.52373,0.68097,0.00057,0.97438,0.68592,0.1,0.30626,0.0,0.95,0.73573,0.86089
174594,0cc5f4a5,861197,4293418.0,Lukas Nmecha,Lukas Nmecha,Leeds United,8463,Leeds United,8463,185.0,right,26.0,Germany,4.81155,ST,ST,False,,3348.0,0.99795,0.28821,0.88218,0.06793,0.21583,0.26462,0.5142,11.30813,0.11876,0.00177,0.00093,0.82024,0.14182,0.56323,0.22376,0.05554,2.11162,0.56768,0.00489,1.4348,0.98673,0.00115,0.94055,0.37554,0.15,0.30421,0.0,0.62889,0.584,0.52
586309,52c3244b,1398392,4307736.0,Thierno Barry,Thierno Barry,Everton,8668,Everton,8668,195.0,right,22.0,France,27.02347,ST,ST,False,,2322.0,0.97894,0.29942,0.80238,0.0578,0.19021,0.32808,0.51617,8.25889,0.11159,0.0021,0.00052,0.70343,0.13356,0.66435,0.12009,0.0768,1.69486,0.73635,0.00521,1.52503,1.48637,0.00108,0.94924,0.47791,0.1,0.30417,0.0,0.7,0.584,0.52
201666,3ea50f67,760359,45039.0,Harvey Barnes,Harvey Barnes,Newcastle United,10261,Newcastle United,10261,174.0,right,27.0,England,40.0065,LW,LM/AM/LW/RW,False,,11557.0,1.11774,0.26763,0.80443,0.11832,0.31997,0.3585,0.69581,18.16994,0.03261,0.00047,0.00012,1.07313,0.39349,0.23671,0.27249,0.05666,2.84702,0.3699,0.00494,1.09815,0.71632,0.01026,0.91475,0.49595,0.0,0.29914,0.0,0.95,0.79733,0.87556
168636,f8eca1b6,464486,3763425.0,Enes Ünal,Enes Ünal,AFC Bournemouth,8678,AFC Bournemouth,8678,185.0,right,28.0,Turkiye,11.95293,ST,ST,True,Early October 2025,7945.0,1.04647,0.28412,0.88221,0.06872,0.16171,0.34102,0.66629,10.57168,0.13563,0.00241,0.00039,0.58298,0.10732,0.54519,0.15962,0.06148,2.31852,0.82358,0.00435,1.61439,1.55556,0.00065,0.91158,0.37422,0.0,0.29732,0.0,0.7,0.584,0.52
487117,4596da74,1068482,426576.0,Evan Ferguson,Evan Ferguson,Roma,8686,Brighton & Hove Albion,10204,188.0,right,20.0,Ireland,33.12201,ST,ST,False,,3538.0,1.0169,0.29024,0.89501,0.05669,0.19428,0.31335,0.60133,12.0394,0.08377,0.00176,0.00066,0.69349,0.10899,0.29178,0.1742,0.0917,1.76081,0.47325,0.00428,1.07252,0.97744,0.001,0.86835,0.20508,0.0,0.29515,0.0,0.78122,0.89533,0.89889
608181,a497130f,1423616,4293380.0,Stefanos Tzimas,Stefanos Tzimas,Brighton & Hove Albion,10204,Brighton & Hove Albion,10204,184.0,both,19.0,Greece,11.0,ST,AM/ST,False,,0.0,0.99982,0.28394,1.07401,0.07753,0.32016,0.4251,0.71913,16.15982,0.1287,0.00334,0.00105,0.97297,0.21245,0.42492,0.2464,0.08062,2.53379,0.58143,0.00353,1.43146,1.39372,0.0016,0.9095,0.3692,0.1,0.29495,0.0,0.7,0.584,0.52
497894,491a433d,1199272,3634387.0,Rasmus Højlund,Rasmus Højlund,Manchester United,10260,Manchester United,10260,191.0,left,22.0,Denmark,47.15306,ST,ST,False,,8364.0,1.02404,0.28391,0.66107,0.05235,0.13249,0.13742,0.23169,10.45255,0.04594,0.00084,0.0003,0.46353,0.07855,0.50146,0.08672,0.03815,1.70398,0.36404,0.00534,1.04263,0.76654,0.00047,0.91999,0.34607,0.0,0.29074,0.0,0.95,0.9,0.9
560262,b2fe86e5,1460534,4293383.0,Eli Junior Kroupi,Eli Junior Kroupi,AFC Bournemouth,8678,AFC Bournemouth,8678,179.0,right,19.0,France,23.01449,ST,LM/AM/LW/ST,False,,1084.0,1.02093,0.28077,1.01336,0.0735,0.25844,0.34815,0.60132,11.2642,0.14316,0.00444,0.00068,0.79056,0.21163,0.57924,0.3314,0.07419,2.55497,0.68017,0.00332,1.18849,1.47534,0.00114,0.86167,0.17581,0.0,0.28664,0.0,0.7,0.584,0.52
176297,a1d5bd30,696365,23194.0,Marcus Rashford,Marcus Rashford,Barcelona,8634,Manchester United,10260,185.0,right,27.0,England,52.24593,LW,RW/LW/AM/ST,False,,15067.0,1.09346,0.26192,0.95342,0.11603,0.33339,0.46425,0.76113,20.76532,0.06846,0.00072,0.00013,1.47003,0.40022,0.47525,0.2654,0.04277,2.81306,0.41487,0.00511,0.85909,0.60239,0.00107,0.93281,0.39032,0.0,0.2864,0.0,0.95,0.9,0.9
475168,e8832875,1021382,164449.0,João Pedro Junqueira de Jesus,Joao Pedro,Chelsea,8455,Chelsea,8455,188.0,right,23.0,Brazil,61.30214,ST,AM/LW/ST,False,,12227.0,1.03835,0.26685,0.88727,0.10737,0.27045,0.60024,0.96478,17.98062,0.09861,0.00126,0.00025,1.41174,0.23058,0.30541,0.38954,0.05862,2.94951,0.59504,0.00452,1.72251,1.08294,0.00051,0.96299,0.51635,0.08,0.28593,0.0,0.95,0.74827,0.55911
430871,dc62b55d,863098,3627793.0,Matheus Santos Carneiro da Cunha,Matheus Cunha,Manchester United,10260,Manchester United,10260,184.0,right,26.0,Brazil,60.81658,AM,LWB/LM/RW/AM/LW/ST,False,,10551.0,1.07116,0.26163,1.15967,0.15122,0.36772,0.66629,1.20627,22.08926,0.12899,0.0013,0.00028,1.68928,0.57023,0.21356,0.60177,0.09011,4.05085,0.55125,0.00448,1.93784,1.29403,0.00182,0.93316,0.50614,0.05,0.28578,0.0,0.95,0.9,0.9
431639,b3f36e72,873559,4293411.0,Zian Flemming,Zian Flemming,Burnley,8191,Burnley,8191,185.0,right,27.0,Netherlands,6.49854,ST,ST,True,Doubtful,15316.0,1.12139,0.19342,0.70044,0.04857,0.15093,0.52335,0.75675,9.4521,0.08348,0.00093,0.00033,0.44241,0.09506,0.24091,0.3585,0.08598,2.57005,1.16318,0.00507,1.40474,1.5571,0.00052,0.99505,0.54856,0.6,0.28326,0.0,0.7,0.584,0.52
232185,bfdb33aa,771294,3912183.0,Ismaïla Sarr,Ismaila Sarr,Crystal Palace,9826,Crystal Palace,9826,185.0,right,27.0,Senegal,27.94222,AM,RM/LM/RW/AM/LW,False,,13629.0,0.97286,0.2839,0.73867,0.11284,0.38187,0.38879,0.76986,13.93741,0.07662,0.00072,0.00023,0.69167,0.33537,0.3537,0.37203,0.21066,3.5406,1.00862,0.00589,1.72376,0.64185,0.0013,0.9801,0.58118,0.05,0.28173,0.0,0.72942,0.8496,0.888
576980,6baa90d0,1413864,,Zach Marsh,Zach Marsh,Crystal Palace Academy,1267874,Crystal Palace,9826,,right,,England,,ST,RM/AM/RW/ST/LW,False,,0.0,1.0,0.281,1.04602,0.07456,0.30809,0.44286,0.78034,12.04691,0.13223,0.00345,0.00115,0.60522,0.15962,0.68317,0.26126,0.09513,2.71919,0.83262,0.00349,1.40693,1.32697,0.00157,0.9095,0.3692,0.0,0.281,0.0,0.7,0.584,0.52
590760,2093823e,1427857,,Daniel Adu-Adjei,Daniel Adu-Adjei,AFC Bournemouth U23,584602,AFC Bournemouth,8678,,right,20.0,England,0.02,ST,AM/ST/LW,False,,0.0,1.0,0.28041,1.13598,0.07441,0.30734,0.39354,0.70382,13.08696,0.16802,0.00539,0.00077,0.84851,0.21685,0.64633,0.27458,0.08985,2.86065,0.78021,0.00349,1.37174,1.66421,0.00131,0.91773,0.33564,0.0,0.28041,0.0,0.7,0.584,0.52
552427,92df535b,1417094,,Will Lankshear,Will Lankshear,Oxford United,8653,Tottenham Hotspur,8586,179.0,right,20.0,England,3.1,ST,AM/ST,False,,493.0,0.97172,0.2838,0.85847,0.06417,0.24133,0.31087,0.5236,13.21818,0.13598,0.00236,0.00131,0.71492,0.15033,0.52714,0.23999,0.11001,2.14492,0.52091,0.00401,1.624,1.4123,0.00174,0.80201,0.23075,0.0,0.27577,0.0,0.52611,0.584,0.52
232413,ae4fc6a4,818975,180321.0,Eberechi Eze,Eberechi Eze,Crystal Palace,9826,Crystal Palace,9826,178.0,right,27.0,England,54.18503,AM,AM/ST/LW,False,,11430.0,1.09662,0.23617,0.81459,0.15697,0.34388,0.60491,1.15191,24.83854,0.05419,0.00053,0.00017,1.92967,0.88366,0.26837,0.47369,0.03865,4.94974,0.28296,0.00411,1.79644,0.65185,0.00384,0.9271,0.44928,0.15,0.27557,0.0,0.7,0.9,0.9
205533,a53649b7,860920,76982.0,Eddie Nketiah,Edward Nketiah,Crystal Palace,9826,Crystal Palace,9826,175.0,right,26.0,England,21.38355,AM,AM/ST,True,Mid October 2025,6363.0,0.93983,0.29277,0.81711,0.07561,0.16528,0.43912,0.75788,11.93147,0.09798,0.00121,0.00036,0.70814,0.1616,0.32768,0.33889,0.0795,2.28818,0.53755,0.00613,1.51659,1.30267,0.002,0.97427,0.39925,0.0,0.27515,0.0,0.95,0.85053,0.88822
